10/08/2022 01:46:30 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 02:10:33 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:10:36 PM | INFO | enter valid userID
10/08/2022 02:10:37 PM | INFO | enter invalid password
10/08/2022 02:10:37 PM | INFO | click login button
10/08/2022 02:10:37 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:10:37 PM | INFO | accepted alert message
10/08/2022 02:10:37 PM | INFO | Expected alert message is: User or Password is not valid123
10/08/2022 02:11:16 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 02:11:16 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:11:20 PM | INFO | enter userID
10/08/2022 02:11:20 PM | INFO | enter Password
10/08/2022 02:11:20 PM | INFO | click login button
10/08/2022 02:11:22 PM | INFO | Actual page title is: Guru99 Bank Manager HomePage
10/08/2022 02:11:22 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 02:11:22 PM | INFO | Test Case Passed.
10/08/2022 02:11:24 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 02:11:24 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:11:27 PM | INFO | enter valid userID
10/08/2022 02:11:28 PM | INFO | enter invalid password
10/08/2022 02:11:28 PM | INFO | click login button
10/08/2022 02:11:28 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:11:28 PM | INFO | accepted alert message
10/08/2022 02:11:28 PM | INFO | Expected alert message is: User or Password is not valid123
10/08/2022 02:11:30 PM | INFO | Test Case Failed.
10/08/2022 02:12:05 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 02:12:05 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:12:09 PM | INFO | enter valid userID
10/08/2022 02:12:09 PM | INFO | enter invalid password
10/08/2022 02:12:09 PM | INFO | click login button
10/08/2022 02:12:10 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:12:10 PM | INFO | accepted alert message
10/08/2022 02:12:10 PM | INFO | Expected alert message is: User or Password is not valid123
10/08/2022 02:13:11 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 02:13:11 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:13:15 PM | INFO | enter valid userID
10/08/2022 02:13:15 PM | INFO | enter invalid password
10/08/2022 02:13:15 PM | INFO | click login button
10/08/2022 02:13:16 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:13:16 PM | INFO | accepted alert message
10/08/2022 02:13:16 PM | INFO | Expected alert message is: User or Password is not valid123
10/08/2022 02:13:17 PM | INFO | Test Case Failed.
10/08/2022 02:13:39 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 02:13:39 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:13:43 PM | INFO | enter valid userID
10/08/2022 02:13:43 PM | INFO | enter invalid password
10/08/2022 02:13:43 PM | INFO | click login button
10/08/2022 02:13:44 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:13:44 PM | INFO | accepted alert message
10/08/2022 02:13:44 PM | INFO | Expected alert message is: User or Password is not valid123
10/08/2022 02:14:35 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 02:14:35 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:14:41 PM | INFO | enter valid userID
10/08/2022 02:14:41 PM | INFO | enter invalid password
10/08/2022 02:14:41 PM | INFO | click login button
10/08/2022 02:14:41 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:14:41 PM | INFO | accepted alert message
10/08/2022 02:14:41 PM | INFO | Expected alert message is: User or Password is not valid123
10/08/2022 02:14:43 PM | INFO | Test Case Failed.
10/08/2022 02:17:31 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 02:17:31 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:17:35 PM | INFO | enter userID
10/08/2022 02:17:35 PM | INFO | enter Password
10/08/2022 02:17:35 PM | INFO | click login button
10/08/2022 02:17:37 PM | INFO | Actual page title is: Guru99 Bank Manager HomePage
10/08/2022 02:17:37 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage login
10/08/2022 02:17:37 PM | ERROR | Test Case Failed.
10/08/2022 02:17:39 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 02:17:39 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:17:43 PM | INFO | enter valid userID
10/08/2022 02:17:43 PM | INFO | enter invalid password
10/08/2022 02:17:43 PM | INFO | click login button
10/08/2022 02:17:43 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:17:43 PM | INFO | accepted alert message
10/08/2022 02:17:43 PM | INFO | Expected alert message is: User or Password is not valid
10/08/2022 02:17:43 PM | INFO | Test Case Passed.
10/08/2022 02:18:22 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 02:18:22 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:18:25 PM | INFO | enter userID
10/08/2022 02:18:26 PM | INFO | enter Password
10/08/2022 02:18:26 PM | INFO | click login button
10/08/2022 02:18:27 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 02:18:27 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:18:31 PM | INFO | enter valid userID
10/08/2022 02:18:31 PM | INFO | enter invalid password
10/08/2022 02:18:31 PM | INFO | click login button
10/08/2022 02:18:32 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:18:32 PM | INFO | accepted alert message
10/08/2022 02:18:32 PM | INFO | Expected alert message is: User or Password is not valid
10/08/2022 02:18:32 PM | INFO | Test Case Passed.
10/08/2022 02:22:27 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 02:22:27 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:22:30 PM | INFO | enter userID
10/08/2022 02:22:31 PM | INFO | enter Password
10/08/2022 02:22:31 PM | INFO | click login button
10/08/2022 02:22:31 PM | INFO | Getting page title
10/08/2022 02:22:33 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 02:22:33 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:22:38 PM | INFO | enter valid userID
10/08/2022 02:22:38 PM | INFO | enter invalid password
10/08/2022 02:22:38 PM | INFO | click login button
10/08/2022 02:22:38 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:22:38 PM | INFO | accepted alert message
10/08/2022 02:22:38 PM | INFO | Expected alert message is: User or Password is not valid
10/08/2022 02:22:38 PM | INFO | Test Case Passed.
10/08/2022 02:59:02 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 02:59:02 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:59:24 PM | INFO | enter userID
10/08/2022 02:59:24 PM | INFO | enter Password
10/08/2022 02:59:24 PM | INFO | click login button
10/08/2022 02:59:25 PM | INFO | Getting page title
10/08/2022 02:59:25 PM | INFO | Actual page title is: 
10/08/2022 02:59:25 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 02:59:28 PM | ERROR | Test Case Failed.
10/08/2022 02:59:29 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 02:59:29 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:59:40 PM | INFO | enter valid userID
10/08/2022 02:59:40 PM | INFO | enter invalid password
10/08/2022 02:59:40 PM | INFO | click login button
10/08/2022 02:59:41 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:59:41 PM | INFO | accepted alert message
10/08/2022 02:59:41 PM | INFO | Expected alert message is: User or Password is not valid
10/08/2022 02:59:41 PM | INFO | Test Case Passed.
10/08/2022 03:01:12 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 03:01:12 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 03:01:22 PM | INFO | enter userID
10/08/2022 03:01:22 PM | INFO | enter Password
10/08/2022 03:01:22 PM | INFO | click login button
10/08/2022 03:01:23 PM | INFO | Getting page title
10/08/2022 03:01:23 PM | INFO | Actual page title is: 
10/08/2022 03:01:23 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 03:01:26 PM | ERROR | Test Case Failed.
10/08/2022 03:01:27 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 03:01:27 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 03:01:38 PM | INFO | enter valid userID
10/08/2022 03:01:38 PM | INFO | enter invalid password
10/08/2022 03:01:38 PM | INFO | click login button
10/08/2022 03:01:38 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 03:01:38 PM | INFO | accepted alert message
10/08/2022 03:01:38 PM | INFO | Expected alert message is: User or Password is not valid
10/08/2022 03:01:38 PM | INFO | Test Case Passed.
10/08/2022 03:02:05 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 03:02:05 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 03:02:12 PM | INFO | enter userID
10/08/2022 03:02:12 PM | INFO | enter Password
10/08/2022 03:02:12 PM | INFO | click login button
10/08/2022 03:02:13 PM | INFO | Getting page title
10/08/2022 03:02:13 PM | INFO | Actual page title is: 
10/08/2022 03:02:13 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 03:02:15 PM | ERROR | Test Case Failed.
10/08/2022 03:02:16 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 03:02:16 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 03:02:28 PM | INFO | enter valid userID
10/08/2022 03:02:28 PM | INFO | enter invalid password
10/08/2022 03:02:28 PM | INFO | click login button
10/08/2022 03:02:29 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 03:02:29 PM | INFO | accepted alert message
10/08/2022 03:02:29 PM | INFO | Expected alert message is: User or Password is not valid
10/08/2022 03:02:29 PM | INFO | Test Case Passed.
10/08/2022 03:04:04 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 03:04:04 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 03:04:14 PM | INFO | enter userID
10/08/2022 03:04:14 PM | INFO | enter Password
10/08/2022 03:04:14 PM | INFO | click login button
10/08/2022 03:04:14 PM | INFO | Getting page title
10/08/2022 03:04:14 PM | INFO | Actual page title is: 
10/08/2022 03:04:14 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 03:04:17 PM | ERROR | Test Case Failed.
10/08/2022 03:04:18 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 03:04:18 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 03:04:29 PM | INFO | enter valid userID
10/08/2022 03:04:29 PM | INFO | enter invalid password
10/08/2022 03:04:29 PM | INFO | click login button
10/08/2022 03:04:30 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 03:04:30 PM | INFO | accepted alert message
10/08/2022 03:04:30 PM | INFO | Expected alert message is: User or Password is not valid
10/08/2022 03:04:30 PM | INFO | Test Case Passed.
10/08/2022 03:07:04 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 03:07:04 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 03:07:10 PM | INFO | enter userID
10/08/2022 03:07:10 PM | INFO | enter Password
10/08/2022 03:07:10 PM | INFO | click login button
10/08/2022 03:07:11 PM | INFO | Getting page title
10/08/2022 03:07:11 PM | INFO | Actual page title is: 
10/08/2022 03:07:11 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 03:07:14 PM | ERROR | Test Case Failed.
10/08/2022 03:07:15 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 03:07:15 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 03:07:27 PM | INFO | enter valid userID
10/08/2022 03:07:27 PM | INFO | enter invalid password
10/08/2022 03:07:27 PM | INFO | click login button
10/08/2022 03:07:28 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 03:07:28 PM | INFO | accepted alert message
10/08/2022 03:07:28 PM | INFO | Expected alert message is: User or Password is not valid
10/08/2022 03:07:28 PM | INFO | Test Case Passed.
10/08/2022 03:13:18 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 03:13:18 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 03:13:38 PM | INFO | enter userID
10/08/2022 03:13:38 PM | INFO | enter Password
10/08/2022 03:13:38 PM | INFO | click login button
10/08/2022 03:13:41 PM | INFO | Getting page title
10/08/2022 03:13:41 PM | INFO | Actual page title is: Guru99 Bank Manager HomePage
10/08/2022 03:13:41 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 03:13:41 PM | INFO | Test Case Passed.
10/08/2022 03:13:42 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 03:13:42 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 03:13:52 PM | INFO | enter valid userID
10/08/2022 03:13:53 PM | INFO | enter invalid password
10/08/2022 03:13:53 PM | INFO | click login button
10/08/2022 03:13:53 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 03:13:53 PM | INFO | accepted alert message
10/08/2022 03:13:53 PM | INFO | Expected alert message is: User or Password is not valid
10/08/2022 03:13:53 PM | INFO | Test Case Passed.
10/08/2022 03:23:14 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 03:23:14 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 03:23:25 PM | INFO | enter userID
10/08/2022 03:23:25 PM | INFO | enter Password
10/08/2022 03:23:25 PM | INFO | click login button
10/08/2022 03:23:25 PM | INFO | Getting page title
10/08/2022 03:23:25 PM | INFO | Actual page title is: Guru99 Bank Home Page
10/08/2022 03:23:25 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 03:23:25 PM | ERROR | Test Case Failed.
10/08/2022 03:23:26 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 03:23:26 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 03:23:37 PM | INFO | enter valid userID
10/08/2022 03:23:37 PM | INFO | enter invalid password
10/08/2022 03:23:37 PM | INFO | click login button
10/08/2022 03:23:38 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 03:23:38 PM | INFO | accepted alert message
10/08/2022 03:23:38 PM | INFO | Expected alert message is: User or Password is not valid
10/08/2022 03:23:38 PM | INFO | Test Case Passed.
10/09/2022 10:12:01 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/09/2022 10:12:01 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/09/2022 10:12:06 PM | INFO | enter userID
10/09/2022 10:12:06 PM | INFO | enter Password
10/09/2022 10:12:06 PM | INFO | click login button
10/09/2022 10:12:06 PM | INFO | Getting page title
10/09/2022 10:12:06 PM | INFO | Actual page title is: Guru99 Bank Home Page
10/09/2022 10:12:06 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/09/2022 10:12:06 PM | ERROR | Test Case Failed.
10/09/2022 10:12:07 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/09/2022 10:12:07 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/09/2022 10:12:13 PM | INFO | enter valid userID
10/09/2022 10:12:13 PM | INFO | enter invalid password
10/09/2022 10:12:13 PM | INFO | click login button
10/09/2022 10:12:14 PM | INFO | Actual alert message is: User or Password is not valid
10/09/2022 10:12:14 PM | INFO | accepted alert message
10/09/2022 10:12:14 PM | INFO | Expected alert message is: User or Password is not valid
10/09/2022 10:12:14 PM | INFO | Test Case Passed.
10/09/2022 10:13:08 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/09/2022 10:13:08 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/09/2022 10:13:12 PM | INFO | enter userID
10/09/2022 10:13:12 PM | INFO | enter Password
10/09/2022 10:13:13 PM | INFO | click login button
10/09/2022 10:13:13 PM | INFO | Getting page title
10/09/2022 10:13:13 PM | INFO | Actual page title is: Guru99 Bank Home Page
10/09/2022 10:13:13 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/09/2022 10:13:13 PM | ERROR | Test Case Failed.
10/09/2022 10:13:14 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/09/2022 10:13:14 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/09/2022 10:13:18 PM | INFO | enter valid userID
10/09/2022 10:13:18 PM | INFO | enter invalid password
10/09/2022 10:13:18 PM | INFO | click login button
10/09/2022 10:13:18 PM | INFO | Actual alert message is: User or Password is not valid
10/09/2022 10:13:18 PM | INFO | accepted alert message
10/09/2022 10:13:18 PM | INFO | Expected alert message is: User or Password is not valid
10/09/2022 10:13:18 PM | INFO | Test Case Passed.
10/09/2022 10:16:44 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/09/2022 10:16:44 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/09/2022 10:16:49 PM | INFO | enter userID
10/09/2022 10:16:49 PM | INFO | enter Password
10/09/2022 10:16:49 PM | INFO | click login button
10/09/2022 10:16:50 PM | INFO | Getting page title
10/09/2022 10:16:50 PM | INFO | Actual page title is: Guru99 Bank Home Page
10/09/2022 10:16:50 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/09/2022 10:16:50 PM | ERROR | Test Case Failed.
10/09/2022 10:16:51 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/09/2022 10:16:51 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/09/2022 10:16:55 PM | INFO | enter valid userID
10/09/2022 10:16:55 PM | INFO | enter invalid password
10/09/2022 10:16:56 PM | INFO | click login button
10/09/2022 10:16:56 PM | INFO | Actual alert message is: User or Password is not valid
10/09/2022 10:16:56 PM | INFO | accepted alert message
10/09/2022 10:16:56 PM | INFO | Expected alert message is: User or Password is not valid
10/09/2022 10:16:56 PM | INFO | Test Case Passed.
10/09/2022 10:22:39 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/09/2022 10:22:39 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/09/2022 10:22:43 PM | INFO | enter userID
10/09/2022 10:22:44 PM | INFO | enter Password
10/09/2022 10:22:44 PM | INFO | click login button
10/09/2022 10:22:45 PM | INFO | Getting page title
10/09/2022 10:22:45 PM | INFO | Actual page title is: Guru99 Bank Manager HomePage
10/09/2022 10:22:45 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/09/2022 10:22:45 PM | INFO | Test Case Passed.
10/09/2022 10:22:46 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/09/2022 10:22:46 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/09/2022 10:22:50 PM | INFO | enter valid userID
10/09/2022 10:22:50 PM | INFO | enter invalid password
10/09/2022 10:22:50 PM | INFO | click login button
10/09/2022 10:22:50 PM | INFO | Actual alert message is: User or Password is not valid
10/09/2022 10:22:50 PM | INFO | accepted alert message
10/09/2022 10:22:50 PM | INFO | Expected alert message is: User or Password is not valid
10/09/2022 10:22:50 PM | INFO | Test Case Passed.
10/09/2022 10:40:19 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/09/2022 10:40:19 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/09/2022 10:40:23 PM | INFO | enter userID
10/09/2022 10:40:23 PM | INFO | enter Password
10/09/2022 10:40:23 PM | INFO | click login button
10/09/2022 10:40:25 PM | INFO | Getting page title
10/09/2022 10:40:25 PM | INFO | Actual page title is: Guru99 Bank Manager HomePage
10/09/2022 10:40:25 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/09/2022 10:40:25 PM | INFO | Test Case Passed.
10/09/2022 10:42:38 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
